in s,C1 in V
-6.85840E-06,2.310E-01
-6.85800E-06,2.320E-01
-6.85760E-06,2.310E-01
-6.85720E-06,2.339E-01
-6.85680E-06,2.339E-01
-6.85640E-06,2.339E-01
-6.85600E-06,2.349E-01
-6.85560E-06,2.359E-01
-6.85520E-06,2.349E-01
-6.85480E-06,2.349E-01
-6.85440E-06,2.349E-01
-6.85400E-06,2.359E-01
-6.85360E-06,2.329E-01
-6.85320E-06,2.320E-01
-6.85280E-06,2.310E-01
-6.85240E-06,2.359E-01
-6.85200E-06,2.320E-01
-6.85160E-06,2.369E-01
-6.85120E-06,2.300E-01
-6.85080E-06,2.339E-01
-6.85040E-06,2.310E-01
-6.85000E-06,2.329E-01
-6.84960E-06,2.310E-01
-6.84920E-06,2.320E-01
-6.84880E-06,2.300E-01
-6.84840E-06,2.320E-01
-6.84800E-06,2.310E-01
-6.84760E-06,2.320E-01
-6.84720E-06,2.329E-01
-6.84680E-06,2.320E-01
-6.84640E-06,2.320E-01
-6.84600E-06,2.290E-01
-6.84560E-06,2.300E-01
-6.84520E-06,2.300E-01
-6.84480E-06,2.349E-01
-6.84440E-06,2.339E-01
-6.84400E-06,2.281E-01
-6.84360E-06,2.339E-01
-6.84320E-06,2.310E-01
-6.84280E-06,2.310E-01
-6.84240E-06,2.329E-01
-6.84200E-06,2.300E-01
-6.84160E-06,2.329E-01
-6.84120E-06,2.320E-01
-6.84080E-06,2.339E-01
-6.84040E-06,2.310E-01
-6.84000E-06,2.339E-01
-6.83960E-06,2.339E-01
-6.83920E-06,2.290E-01
-6.83880E-06,2.329E-01
-6.83840E-06,2.329E-01
-6.83800E-06,2.300E-01
-6.83760E-06,2.310E-01
-6.83720E-06,2.339E-01
-6.83680E-06,2.310E-01
-6.83640E-06,2.310E-01
-6.83600E-06,2.349E-01
-6.83560E-06,2.320E-01
-6.83520E-06,2.310E-01
-6.83480E-06,2.339E-01
-6.83440E-06,2.339E-01
-6.83400E-06,2.320E-01
-6.83360E-06,2.310E-01
-6.83320E-06,2.300E-01
-6.83280E-06,2.300E-01
-6.83240E-06,2.310E-01
-6.83200E-06,2.320E-01
-6.83160E-06,2.349E-01
-6.83120E-06,2.349E-01
-6.83080E-06,2.310E-01
-6.83040E-06,2.339E-01
-6.83000E-06,2.310E-01
-6.82960E-06,2.339E-01
-6.82920E-06,2.300E-01
-6.82880E-06,2.329E-01
-6.82840E-06,2.320E-01
-6.82800E-06,2.369E-01
-6.82760E-06,2.300E-01
-6.82720E-06,2.329E-01
-6.82680E-06,2.320E-01
-6.82640E-06,2.320E-01
-6.82600E-06,2.329E-01
-6.82560E-06,2.329E-01
-6.82520E-06,2.310E-01
-6.82480E-06,2.310E-01
-6.82440E-06,2.300E-01
-6.82400E-06,2.349E-01
-6.82360E-06,2.320E-01
-6.82320E-06,2.339E-01
-6.82280E-06,2.339E-01
-6.82240E-06,2.329E-01
-6.82200E-06,2.310E-01
-6.82160E-06,2.320E-01
-6.82120E-06,2.339E-01
-6.82080E-06,2.310E-01
-6.82040E-06,2.290E-01
-6.82000E-06,2.329E-01
-6.81960E-06,2.300E-01
-6.81920E-06,2.290E-01
-6.81880E-06,2.329E-01
-6.81840E-06,2.290E-01
-6.81800E-06,2.290E-01
-6.81760E-06,2.320E-01
-6.81720E-06,2.339E-01
-6.81680E-06,2.271E-01
-6.81640E-06,2.320E-01
-6.81600E-06,2.310E-01
-6.81560E-06,2.310E-01
-6.81520E-06,2.339E-01
-6.81480E-06,2.310E-01
-6.81440E-06,2.339E-01
-6.81400E-06,2.310E-01
-6.81360E-06,2.310E-01
-6.81320E-06,2.310E-01
-6.81280E-06,2.320E-01
-6.81240E-06,2.310E-01
-6.81200E-06,2.281E-01
-6.81160E-06,2.329E-01
-6.81120E-06,2.329E-01
-6.81080E-06,2.320E-01
-6.81040E-06,2.290E-01
-6.81000E-06,2.310E-01
-6.80960E-06,2.359E-01
-6.80920E-06,2.329E-01
-6.80880E-06,2.329E-01
-6.80840E-06,2.310E-01
-6.80800E-06,2.320E-01
-6.80760E-06,2.320E-01
-6.80720E-06,2.310E-01
-6.80680E-06,2.310E-01
-6.80640E-06,2.310E-01
-6.80600E-06,2.320E-01
-6.80560E-06,2.290E-01
-6.80520E-06,2.349E-01
-6.80480E-06,2.300E-01
-6.80440E-06,2.329E-01
-6.80400E-06,2.310E-01
-6.80360E-06,2.329E-01
-6.80320E-06,2.310E-01
-6.80280E-06,2.339E-01
-6.80240E-06,2.349E-01
-6.80200E-06,2.310E-01
-6.80160E-06,2.349E-01
-6.80120E-06,2.320E-01
-6.80080E-06,2.320E-01
-6.80040E-06,2.329E-01
-6.80000E-06,2.310E-01
-6.79960E-06,2.320E-01
-6.79920E-06,2.300E-01
-6.79880E-06,2.320E-01
-6.79840E-06,2.320E-01
-6.79800E-06,2.339E-01
-6.79760E-06,2.349E-01
-6.79720E-06,2.329E-01
-6.79680E-06,2.300E-01
-6.79640E-06,2.310E-01
-6.79600E-06,2.310E-01
-6.79560E-06,2.349E-01
-6.79520E-06,2.310E-01
-6.79480E-06,2.329E-01
-6.79440E-06,2.310E-01
-6.79400E-06,2.300E-01
-6.79360E-06,2.329E-01
-6.79320E-06,2.320E-01
-6.79280E-06,2.290E-01
-6.79240E-06,2.310E-01
-6.79200E-06,2.300E-01
-6.79160E-06,2.339E-01
-6.79120E-06,2.320E-01
-6.79080E-06,2.349E-01
-6.79040E-06,2.320E-01
-6.79000E-06,2.290E-01
-6.78960E-06,2.300E-01
-6.78920E-06,2.310E-01
